# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5858165658964713088	193.619891	-67.021123	 0.0574	 0.1561	0.1531	-6.3565	-0.3676	0.2947	0.2938	0.3307	0.2154	19.6678	1.3165	87.25	2	0.00000
5858165658964719872	193.609644	-67.019773	 0.0534	 0.1574	0.6648	-7.9926	0.3093	0.3938	0.4111	0.4640	0.2556	19.9701	1.4586	87.33	2	0.00000
5858165658966356992	193.608350	-67.020113	 0.0529	 0.1571	0.2215	-6.6051	-0.7125	0.6945	0.8359	0.8904	0.3878	20.5481	1.6065	88.03	2	0.00000
5858165658965686016	193.604743	-67.020657	 0.0515	 0.1566	0.3498	-10.013	2.2064	0.4012	0.3730	0.4661	0.2152	19.9375	2.0501	89.31	2	0.00000
5858165551596648832	193.594832	-67.017550	 0.0476	 0.1597	0.4036	-8.2199	-0.7972	0.1296	0.1279	0.1602	0.1811	18.5248	1.3197	86.77	3	0.00000
5858165551596649088	193.598506	-67.020164	 0.0490	 0.1571	0.4457	-8.0366	3.9371	0.3753	0.3577	0.4169	0.2500	19.8863	0.3964	89.61	0	0.00000
5858165551596648960	193.597775	-67.019681	 0.0487	 0.1575	0.3044	-5.3097	-0.5488	0.1146	0.1113	0.1358	0.1490	18.3257	1.0408	89.18	3	0.00000
5858165555907436544	193.592332	-67.019260	 0.0466	 0.1580	0.1184	-5.1876	-0.1173	0.1503	0.1491	0.1915	0.1773	18.7196	1.3884	89.42	3	0.00000
5858165555907434752	193.587850	-67.019762	 0.0449	 0.1575	0.1227	-6.2813	2.0429	0.6839	0.5810	0.7738	0.2127	19.6081	1.3953	90.39	0	0.00000
5858165555885491712	193.587229	-67.019871	 0.0446	 0.1574	0.3782	-5.9125	-0.3791	0.5253	0.4256	0.5759	0.1018	19.8739	1.4809	90.53	0	0.00000
5858165555885489792	193.589386	-67.020282	 0.0455	 0.1570	0.1714	-5.8877	0.5711	0.3149	0.3097	0.3769	0.3058	19.7583	1.4081	90.67	2	0.00000
5858165658966349696	193.601300	-67.021506	 0.0501	 0.1557	-0.3350	-13.736	-0.1616	1.3566	1.0844	1.2876	0.1122	20.8640	1.3609	90.52	2	0.67913
5858165555886470400	193.600162	-67.021008	 0.0497	 0.1562	0.1491	-2.0642	-1.3680	0.3177	0.3126	0.3507	0.1945	19.5496	1.6483	90.22	0	0.00000
5858165555886470784	193.596525	-67.020604	 0.0483	 0.1566	0.1792	-8.9244	-2.8106	0.3572	0.3576	0.4304	0.2203	19.8969	1.4573	90.25	2	0.00000
5858165551560822784	193.596414	-67.021769	 0.0482	 0.1555	0.2935	-6.2681	0.9271	0.0203	0.0203	0.0239	0.1859	14.5065	1.7919	91.18	0	0.00000
5858165654668446592	193.603030	-67.022223	 0.0508	 0.1550	0.0458	-5.9473	0.5319	0.4475	0.4184	0.5038	0.2172	19.7038	1.3940	90.9	0	0.00000
5858165555887128448	193.593955	-67.021789	 0.0473	 0.1554	2.6922	-4.8158	-5.8033	1.3785	1.8229	2.5649	-0.2212	20.6682	1.6347	91.42	0	0.00001
5858165551596649600	193.587399	-67.022037	 0.0447	 0.1552	-0.0762	-6.0020	-0.4085	0.1500	0.1491	0.1923	0.1632	18.7393	1.5333	92.21	3	0.00000
5858165555885466496	193.592321	-67.022900	 0.0466	 0.1543	0.2844	-9.9377	-0.8121	0.0743	0.0746	0.0859	0.1695	17.6180	1.3834	92.46	3	0.00000
5858166208742466304	193.452286	-67.010863	-0.0081	 0.1664	0.1853	-7.4571	0.9715	0.0614	0.0633	0.0666	0.1911	17.2372	1.4211	86.79	3	0.00000
5858165624606594816	193.560035	-67.014180	 0.0340	 0.1631	-0.4025	-7.3696	-1.6058	0.5657	0.5922	0.7651	0.3834	20.3390	nan	86.83	0	0.00000
5858165792107248000	193.549039	-67.013403	 0.0297	 0.1639	0.0120	-7.2304	-0.7002	0.1395	0.1346	0.1722	0.1663	18.6082	1.4453	86.91	3	0.00000
