# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5960160923082998400	262.650028	-39.928232	-0.1150	-0.1203	0.1289	-2.3930	-5.8706	0.1638	0.1833	0.1306	0.2740	17.9790	1.7040	105.6	3	0.00000
5960160923121431424	262.652533	-39.928632	-0.1131	-0.1207	0.3415	-1.7841	-1.3366	0.5576	0.6754	0.4280	0.3305	19.8340	2.0964	107.6	2	0.00000
5960160923097973888	262.653287	-39.928975	-0.1125	-0.1211	0.1668	-2.4104	-6.7873	0.6938	0.8302	0.5359	0.3470	20.0573	nan	107.9	0	0.00000
5960160923121432192	262.651576	-39.927612	-0.1138	-0.1197	1.4095	3.1073	1.4483	0.8382	0.8487	0.5209	0.2008	19.9753	1.7509	108.1	0	0.00000
5960161026200605056	262.654161	-39.928427	-0.1118	-0.1205	0.9341	-5.3685	-3.3226	0.3575	0.3957	0.2504	0.3394	19.1248	2.0364	109.6	0	0.00000
5960160991840877184	262.645530	-39.925062	-0.1185	-0.1172	2.7176	-2.2112	-0.6890	1.1190	2.0858	1.2988	0.7540	20.3122	1.4914	105.3	2	0.00008
5960160996163351168	262.647041	-39.925810	-0.1173	-0.1179	0.4143	-3.2580	1.9928	0.3806	0.4555	0.2829	0.3790	19.2729	1.9567	105.8	0	0.86492
5960160991841057280	262.643466	-39.923345	-0.1200	-0.1154	0.6270	-3.2228	-7.9097	0.0996	0.1393	0.0940	0.4787	17.3554	1.4554	105.4	3	0.00000
5960160996163352704	262.646349	-39.924773	-0.1178	-0.1169	0.1528	-2.4146	-6.5964	0.7043	1.0913	0.7968	0.6409	20.1209	2.1655	106.6	0	0.00000
5960160991840929920	262.645585	-39.923126	-0.1184	-0.1152	-1.3428	-0.9195	-4.7757	0.2727	0.3262	0.2403	0.3728	18.4890	1.9158	108	0	0.00000
5960160991840910848	262.647417	-39.923432	-0.1170	-0.1155	0.5875	-3.8028	-3.8107	0.5478	0.7531	0.4439	0.4244	19.7711	2.3949	109.5	2	0.00000
5960160927443870720	262.649815	-39.926864	-0.1152	-0.1190	0.0801	-2.5319	-5.0531	0.0926	0.1050	0.0727	0.2847	17.1157	2.2428	107.3	3	0.00000
5960160927401422976	262.652720	-39.926945	-0.1129	-0.1190	-3.9131	7.0017	0.0636	0.5969	0.6493	0.5410	-0.2216	18.2923	nan	110.2	0	0.00000
5960161030523084288	262.653073	-39.926084	-0.1127	-0.1182	2.5905	-2.7826	-1.3741	0.4333	0.4133	0.3151	0.1113	15.3305	1.6738	111.5	0	0.00000
5960160927443873536	262.650531	-39.924254	-0.1146	-0.1163	2.4276	-19.252	-15.455	1.3928	1.8761	1.3384	0.4768	20.1193	1.8958	111.4	0	0.00000
5960157766347860608	262.711813	-39.959711	-0.0676	-0.1517	-0.7538	-3.3466	-6.0052	0.6024	1.2302	0.7286	0.7856	19.9625	1.7808	106.2	2	0.00000
5960157762025901952	262.722143	-39.963153	-0.0597	-0.1552	0.2575	-5.8194	-6.6828	1.0306	2.1146	1.2121	0.7677	20.2902	2.1750	106	2	0.00000
5960157762025904768	262.719489	-39.962122	-0.0617	-0.1542	-0.5609	-3.1178	-5.4401	0.4921	0.5909	0.3570	0.4605	19.5738	2.0849	106.4	2	0.00000
5960157761987030016	262.717552	-39.960886	-0.0632	-0.1529	0.5117	2.2272	0.4464	0.1799	0.2122	0.1459	0.3697	18.3280	1.7243	107.6	2	0.00000
5960157761985408768	262.720520	-39.961930	-0.0609	-0.1540	0.3726	-3.0903	-6.2805	0.1366	0.1642	0.1184	0.2335	17.8153	2.1863	107.3	3	0.00000
5960157762025847168	262.722419	-39.961696	-0.0595	-0.1537	1.4555	5.9045	-0.2918	0.6248	0.7470	0.4705	0.3603	19.8000	nan	108.8	0	0.00000
5960157766347852288	262.721645	-39.960873	-0.0601	-0.1529	-0.2809	-7.0911	-4.4456	0.5474	0.6814	0.4462	0.4332	19.7000	2.3561	109.9	2	0.00000
5960157762025901696	262.722303	-39.961332	-0.0596	-0.1534	-0.1827	-2.8182	-5.9699	0.3178	0.3556	0.2664	0.2153	18.5482	2.0845	109.4	0	0.00000
5961658771494421376	262.735297	-39.966487	-0.0496	-0.1585	1.1381	-0.4607	-10.519	0.0286	0.0333	0.0245	0.2196	14.7607	1.0842	106.3	3	0.00000
5960157555867469824	262.724518	-39.963720	-0.0579	-0.1557	-1.0401	-0.3172	-2.5736	0.7344	1.6987	1.0891	0.8282	20.1112	1.7868	106.2	2	0.00000
5960157555867468032	262.726543	-39.964379	-0.0563	-0.1564	-0.6333	-4.8065	-6.8128	0.5886	0.8755	0.5478	0.5509	19.8516	2.1660	106	2	0.00000
5960157555840223616	262.725668	-39.963641	-0.0570	-0.1557	0.3777	-4.6136	-6.9616	0.5490	0.6701	0.4356	0.3228	19.5067	2.1447	107	0	0.00000
