# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4689541131123902592	  5.011763	-72.668881	-0.3014	-0.5901	-0.3135	-0.0227	-1.5877	0.4015	0.4879	0.4799	-0.1060	20.1884	1.0223	6.62	3	0.00000
4689541135426966272	  5.008024	-72.664373	-0.3026	-0.5856	-0.4924	7.8864	-4.4749	0.5640	0.7148	0.8238	-0.3030	20.4277	1.3836	6.671	2	0.10160
4689541543440768128	  4.922873	-72.657159	-0.3281	-0.5789	0.0500	0.5791	-1.7538	0.4894	0.6026	0.5409	-0.2181	20.1975	0.2051	6.574	3	0.00000
4689541749598512512	  4.898694	-72.650316	-0.3355	-0.5722	-0.4370	0.1951	-1.1190	0.2568	0.3323	0.2964	-0.0851	19.5751	0.8973	6.61	3	0.00000
4689541822610160256	  4.880378	-72.648490	-0.3409	-0.5705	0.9490	-17.090	-15.322	0.7168	0.8088	0.7477	-0.0588	20.4519	1.4347	6.588	2	0.00000
4689541715238774912	  4.864116	-72.645855	-0.3458	-0.5679	0.0498	0.8647	-1.0352	0.2243	0.2928	0.2382	-0.0718	19.2693	0.9263	6.582	3	0.00000
4689544670176964992	  4.845236	-72.643413	-0.3515	-0.5656	0.2552	0.9849	-1.6196	0.9055	1.4295	0.9370	-0.1853	20.6415	0.4959	6.566	2	0.00431
4689541749598514304	  4.917445	-72.645749	-0.3299	-0.5675	0.0443	0.3397	-1.5547	0.2128	0.2751	0.2351	-0.0961	19.2853	0.9980	6.7	3	0.00000
4689541749598514176	  4.923611	-72.645934	-0.3281	-0.5677	0.0276	-1.2630	-6.4194	0.3010	0.3972	0.3469	-0.1052	19.6677	1.2138	6.706	3	0.00000
4689541818315349504	  4.923974	-72.643493	-0.3280	-0.5652	0.2620	5.2029	-2.3991	0.1110	0.1420	0.1291	-0.1057	18.2639	0.8778	6.716	3	0.99950
4689541818318684160	  4.925759	-72.639244	-0.3276	-0.5610	0.3462	0.8218	-0.2930	0.7600	1.1050	0.9917	-0.0136	20.6198	1.1059	6.715	2	0.00003
4689541577800506112	  4.966674	-72.659316	-0.3150	-0.5808	-0.0409	-0.3680	-0.0093	0.6741	0.8987	0.9156	-0.4213	20.5703	0.7143	6.65	3	0.00000
4689541577800507136	  4.958497	-72.656313	-0.3175	-0.5778	0.0863	-0.4915	-1.6122	0.7663	1.1335	0.9229	-0.2942	20.6525	0.6864	6.67	3	0.00000
4689541577799820416	  4.961985	-72.653476	-0.3165	-0.5750	0.6079	0.5982	-0.9234	0.2326	0.2979	0.2966	-0.1769	19.4036	0.8340	6.7	3	0.00000
4689541509080340480	  4.994821	-72.659741	-0.3066	-0.5811	-0.0611	-0.4332	-1.6866	0.6451	1.1305	0.7705	0.1647	20.5405	1.0973	6.695	2	0.00000
4689541887037464960	  5.000648	-72.655667	-0.3050	-0.5770	0.6590	0.2057	-0.7265	0.3814	0.4690	0.4474	-0.1124	20.0133	1.0331	6.718	3	0.00000
4689541891341140224	  5.017541	-72.656010	-0.2999	-0.5772	0.0273	0.5243	-1.2529	0.0614	0.0779	0.0725	-0.1278	17.2147	1.4612	6.717	3	0.00000
4689541887037467392	  5.021246	-72.650848	-0.2989	-0.5721	0.8897	1.8770	-2.1197	0.2961	0.3634	0.3579	-0.0498	19.6654	2.0768	6.698	2	0.00000
4689541783955527424	  4.952113	-72.646943	-0.3196	-0.5685	0.6256	8.0746	2.3104	0.0168	0.0205	0.0208	-0.1838	14.5958	0.6710	6.718	3	0.00000
4689541783958254976	  4.957791	-72.641412	-0.3180	-0.5629	0.6852	2.7065	-4.5660	0.6333	0.9655	0.7144	-0.2671	20.3744	0.6337	6.704	2	0.00546
4689541783955613824	  4.967213	-72.639415	-0.3152	-0.5609	0.2962	5.3786	-2.6344	0.1046	0.1347	0.1201	-0.0883	18.1708	0.7851	6.689	3	0.99970
4689541960067647488	  4.999976	-72.646057	-0.3053	-0.5674	0.1537	0.6967	-1.8219	0.1917	0.2485	0.2303	-0.1584	19.0931	1.1999	6.693	2	0.00000
4689541783955615104	  4.974249	-72.638523	-0.3131	-0.5600	0.2500	0.4850	-1.1436	0.1860	0.2440	0.2130	-0.0998	19.0756	1.1468	6.682	3	0.00000
4689544910696989184	  4.780801	-72.629595	-0.3710	-0.5521	0.1219	0.5834	-1.1694	0.1750	0.2904	0.1811	-0.0930	18.8469	1.0473	6.577	3	0.00000
4689544743188043136	  4.829531	-72.633918	-0.3564	-0.5562	1.6220	1.0392	-8.2066	0.9599	1.6265	0.9492	-0.0593	20.7680	1.1291	6.653	0	0.00000
4689544743187741952	  4.820154	-72.630745	-0.3593	-0.5531	-0.1850	0.4245	-0.8408	0.2382	0.3554	0.2391	0.0582	19.2927	1.0223	6.667	3	0.00000
4689544738895756032	  4.834926	-72.631656	-0.3548	-0.5539	0.5370	7.3218	-7.2906	0.4044	0.5813	0.4272	0.0136	20.0079	1.0545	6.687	3	0.00000
4689544979416470528	  4.760129	-72.617824	-0.3775	-0.5405	0.3079	4.3593	-5.5792	0.1037	0.1648	0.1069	-0.0693	18.0467	0.7744	6.671	3	0.00000
4689544945056728704	  4.811743	-72.626571	-0.3619	-0.5489	0.3095	4.5588	-2.8148	0.1873	0.2828	0.1988	0.0476	19.0159	1.0516	6.691	3	0.98337
4689544979416470400	  4.801895	-72.616843	-0.3650	-0.5393	-0.0673	0.4309	-1.4843	0.1803	0.2837	0.1851	0.0939	18.9139	1.2181	6.718	3	0.00000
4689544983705908352	  4.807076	-72.615959	-0.3635	-0.5384	0.3642	-0.2048	-0.2061	0.3752	0.6099	0.3966	0.0816	19.9141	0.9984	6.715	3	0.00000
4689544979416971264	  4.797521	-72.615190	-0.3663	-0.5376	-1.0002	5.5506	-1.8164	1.6363	2.5464	2.0008	-0.2532	20.7785	0.5494	6.717	0	0.57873
4689540100333794048	  4.680308	-72.605699	-0.4016	-0.5289	0.4718	0.5691	-1.2875	0.3189	0.5432	0.3175	-0.1922	19.6258	0.9090	6.597	3	0.00000
4689539928534933376	  4.729643	-72.607710	-0.3868	-0.5306	2.6216	8.3812	-13.855	0.1548	0.2395	0.1605	0.0548	18.5273	2.5395	6.699	3	0.00000
4689540173361280896	  4.649537	-72.595458	-0.4110	-0.5189	0.1847	0.5843	-5.1535	1.3628	1.8021	1.9942	-0.1058	20.6758	1.1380	6.632	0	0.02167
4689540169053105920	  4.659610	-72.595762	-0.4080	-0.5191	-0.1731	0.4726	-1.1360	0.1534	0.2534	0.1606	-0.1358	18.4324	1.2524	6.657	3	0.00000
4689540169053107328	  4.660757	-72.592870	-0.4077	-0.5162	0.1544	0.4988	-1.1677	0.1159	0.1863	0.1174	-0.1088	18.1993	0.9683	6.688	3	0.00000
4689540104623196544	  4.677344	-72.597109	-0.4026	-0.5203	-0.2519	-0.6304	-1.0132	0.6065	0.8030	0.5513	-0.0211	20.1769	1.0567	6.686	3	0.00000
4689540173354220544	  4.669822	-72.594181	-0.4050	-0.5175	0.6319	8.1686	0.1148	0.0544	0.0865	0.0563	-0.0797	16.9280	1.0244	6.694	3	0.00000
4689540169053274624	  4.675047	-72.593319	-0.4034	-0.5166	-0.2337	-0.2176	-1.0679	0.2111	0.3377	0.2085	-0.0796	19.0820	1.1542	6.707	3	0.00000
4689540134693369344	  4.711666	-72.591087	-0.3925	-0.5141	-0.2304	-0.1292	-1.1644	0.2505	0.3798	0.2521	0.0546	19.4125	1.0485	6.705	3	0.00000
4689540134693366912	  4.720574	-72.596751	-0.3897	-0.5197	-0.8232	0.5786	-1.3941	0.2316	0.3522	0.2349	0.0241	19.2809	1.2107	6.715	3	0.00000
4689545735330885888	  4.767427	-72.611593	-0.3754	-0.5342	-0.6148	-0.1332	-1.1504	0.2771	0.4410	0.2800	-0.0437	19.4744	0.9981	6.717	3	0.00000
4689539864105164928	  4.745605	-72.607664	-0.3820	-0.5304	0.7797	2.6035	-0.6708	0.6028	0.9674	0.7014	-0.0953	20.3769	0.7532	6.715	3	0.00881
4689545808339628288	  4.748925	-72.603209	-0.3811	-0.5260	0.8476	-3.6606	-5.7224	0.2840	0.4200	0.3042	0.0569	19.4824	1.9364	6.715	2	0.00000
4689545808339902976	  4.754938	-72.604080	-0.3793	-0.5268	1.0491	2.2312	-2.4252	1.5074	1.9594	2.0999	0.3740	20.8044	1.2044	6.714	2	0.15129
4689545735330887296	  4.776245	-72.606325	-0.3729	-0.5289	0.2692	0.7102	-0.8540	0.3021	0.4800	0.3483	0.2947	19.5658	0.8322	6.706	3	0.00000
4689544979416641152	  4.787550	-72.614430	-0.3693	-0.5369	0.5480	5.2509	-2.8214	0.4060	0.6689	0.4066	-0.0155	19.9945	0.7679	6.718	3	0.99040
4689545735330717056	  4.789606	-72.607996	-0.3688	-0.5305	-0.0786	1.0080	-1.1237	0.2020	0.3061	0.2063	0.0460	19.0820	1.0437	6.702	3	0.00000
4689545013776211584	  4.811195	-72.607270	-0.3624	-0.5296	0.0406	3.0947	5.0097	0.2356	0.3647	0.2461	0.0866	19.1586	0.9587	6.683	1	0.00000
4689545013776211712	  4.814483	-72.605933	-0.3615	-0.5283	0.7381	5.4526	-1.6125	0.1306	0.1954	0.1347	0.0356	18.3899	1.7602	6.678	3	0.00006
4689539932836051712	  4.739054	-72.598189	-0.3842	-0.5210	0.0762	0.5528	-1.1922	0.1153	0.1655	0.1203	0.0132	18.0670	0.9896	6.707	3	0.00000
4689545735330889600	  4.798179	-72.601176	-0.3664	-0.5236	0.0165	0.5661	-0.9611	0.2232	0.3460	0.2270	0.0844	19.2110	0.9460	6.677	3	0.00000
