# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6724023712821809280	271.789737	-43.835470	-0.1588	-0.1208	-0.7585	0.4500	-8.1389	0.4075	0.4406	0.3495	0.2187	19.8713	1.0878	58.65	3	0.58703
6724023712829293568	271.784667	-43.830044	-0.1624	-0.1154	0.5551	-2.0584	-6.8502	0.5217	0.5954	0.4621	0.0674	20.0362	0.9600	58.66	2	0.00000
6724035360800204800	271.784269	-43.828085	-0.1627	-0.1134	0.1595	-3.5707	-4.1904	0.0238	0.0242	0.0199	0.0872	14.6660	1.2813	58.68	1	0.00000
6724023712821836160	271.788947	-43.828355	-0.1593	-0.1137	0.4498	-1.0277	-8.1708	0.4505	0.5093	0.4052	0.2375	19.9019	0.9270	58.75	2	0.02042
6724035356481948800	271.782518	-43.826180	-0.1640	-0.1115	0.0187	-3.5723	-7.9103	0.0459	0.0490	0.0395	0.0463	16.0017	1.3894	58.68	3	0.00000
6724035360806011648	271.782816	-43.824938	-0.1638	-0.1103	-0.0383	-5.2111	-5.5878	0.3996	0.4267	0.3302	0.1690	19.6864	0.9811	58.71	2	0.00000
6724035356483004672	271.780173	-43.823983	-0.1657	-0.1093	0.3737	2.6663	1.4693	0.1012	0.1064	0.0878	0.1854	17.5737	0.9472	58.68	1	0.00000
6724035463860206592	271.785181	-43.825055	-0.1621	-0.1104	1.2752	-4.0169	-8.2087	0.9450	1.0840	0.8949	0.1216	20.6082	1.2196	58.74	2	0.00059
6724035459561165312	271.786340	-43.825071	-0.1612	-0.1104	0.3959	-8.6978	-5.1105	0.0811	0.0822	0.0658	0.1284	17.1881	1.0893	58.76	3	0.00000
6724035463879417344	271.788415	-43.826586	-0.1597	-0.1119	0.3567	0.6467	-2.6784	0.0580	0.0583	0.0475	0.1096	16.5701	0.9570	58.77	1	0.00000
6724035429492718592	271.775754	-43.816580	-0.1689	-0.1019	0.1350	-3.7060	-1.7983	0.1724	0.1780	0.1427	0.1159	18.5192	0.8454	58.71	3	0.00000
6724035356500114560	271.781714	-43.821797	-0.1646	-0.1071	0.9618	-5.7713	-5.9950	1.8863	2.1806	1.5488	0.6918	20.7252	0.8433	58.73	2	0.00000
6724035459579329792	271.784589	-43.822927	-0.1625	-0.1083	0.4334	-3.2316	-8.6807	0.3587	0.3924	0.3012	0.1786	19.6193	0.9317	58.76	1	0.00000
6724035459562222208	271.789370	-43.822415	-0.1591	-0.1077	0.6088	3.4570	0.6387	0.3414	0.3493	0.2900	0.1663	19.0003	1.2129	58.85	1	0.00000
6724035459579329920	271.787028	-43.821716	-0.1607	-0.1070	0.2256	0.0550	-4.2008	0.4482	0.5570	0.4360	0.2354	19.8563	0.9250	58.82	3	0.00000
6724035463852384768	271.789721	-43.821700	-0.1588	-0.1070	0.2980	-3.8714	-4.3490	0.1820	0.1986	0.1607	0.1406	18.7004	0.9275	58.87	3	0.00000
6724035463859810432	271.784735	-43.820848	-0.1624	-0.1062	0.2434	-1.1715	-2.9196	0.6165	0.8247	0.6001	0.1636	20.2974	1.2389	58.8	3	0.00000
6724035463852406016	271.784873	-43.820075	-0.1623	-0.1054	0.4342	-3.0255	-6.5628	0.2842	0.3235	0.2597	0.1427	19.3728	0.8698	58.81	3	0.00000
6724035463879422592	271.789533	-43.820656	-0.1589	-0.1060	0.0722	-1.8015	-8.3550	0.2999	0.3359	0.2690	0.1403	19.4470	0.8944	58.88	3	0.00000
6724035360800212736	271.783850	-43.819327	-0.1630	-0.1047	-0.0853	-0.2545	-4.1187	0.1780	0.2017	0.1637	0.2497	18.5921	1.0193	58.8	3	0.00000
6724035459579330304	271.785439	-43.817617	-0.1619	-0.1029	0.5424	-3.2216	-4.8343	0.3615	0.4235	0.3434	0.2014	19.6808	1.4477	58.86	2	0.00000
6724035463859807360	271.787124	-43.818581	-0.1607	-0.1039	0.4199	0.0859	-8.6236	0.6446	0.7201	0.5288	0.2266	20.1699	1.0124	58.87	2	0.71651
6724035459563446016	271.788058	-43.818203	-0.1600	-0.1035	0.2925	-0.1357	-1.7961	0.2068	0.2287	0.1883	0.1380	18.8839	1.2662	58.9	3	0.00000
6724035463852410368	271.788163	-43.816322	-0.1599	-0.1016	-0.1738	-6.1391	-7.3033	0.3121	0.3514	0.2713	0.1554	19.4676	0.9091	58.93	3	0.00000
6724035429492725760	271.774244	-43.815622	-0.1700	-0.1010	0.7526	-1.5543	-4.5073	0.2034	0.2134	0.1736	0.0956	18.7699	1.1071	58.7	3	0.00000
6724035429519702272	271.775921	-43.815878	-0.1688	-0.1012	0.2565	-2.8011	-6.8693	0.0925	0.0953	0.0774	0.1165	17.4706	0.9829	58.72	3	0.00000
6724035429500070656	271.771308	-43.812755	-0.1721	-0.0981	0.7203	-2.2660	-6.3122	0.6977	0.7925	0.6422	0.1184	20.2730	1.8603	58.69	2	0.00000
6724035429492737280	271.772959	-43.813806	-0.1709	-0.0992	0.1018	-4.6559	-4.0371	0.3687	0.4172	0.3247	0.1814	19.6689	0.8619	58.7	2	0.00000
6724035425201444096	271.773948	-43.813243	-0.1702	-0.0986	0.2824	2.7712	-3.6213	0.0896	0.0932	0.0762	0.1228	17.4040	1.1055	58.72	3	0.00000
6724035631372944000	271.768367	-43.809504	-0.1742	-0.0949	0.9896	-1.6834	-6.7220	0.8127	1.0559	0.7152	0.3700	20.4553	1.0811	58.68	2	0.00018
6724035631378031104	271.769025	-43.812228	-0.1738	-0.0976	1.0645	-2.9391	-0.6934	0.5925	0.7503	0.5523	0.3110	20.2081	0.8704	58.66	0	0.00000
6724035425203710976	271.771372	-43.811584	-0.1721	-0.0969	0.2302	-6.0952	-3.0969	0.2355	0.2609	0.2071	0.1765	19.0280	1.0912	58.7	3	0.00000
6724035631378031232	271.773130	-43.810003	-0.1708	-0.0954	0.8077	0.8800	-7.5856	0.3209	0.3646	0.2877	0.1023	19.5392	1.6502	58.75	3	0.00074
6724035425219601152	271.778342	-43.814879	-0.1670	-0.1002	0.9329	-0.9939	-2.6528	0.4345	0.5062	0.3895	0.2187	19.9628	1.7614	58.78	2	0.00000
6724035425202492928	271.782463	-43.814912	-0.1641	-0.1002	0.5020	-1.4730	-7.1757	0.1405	0.1580	0.1318	0.2462	18.2472	1.1202	58.85	3	0.00000
6724035425219601280	271.779118	-43.813994	-0.1665	-0.0993	0.7628	0.8700	-1.7236	0.3864	0.4472	0.3467	0.2000	19.8138	1.0405	58.8	3	0.00000
6724035463852412160	271.788817	-43.815284	-0.1595	-0.1006	0.4966	-4.9974	-0.1679	0.2864	0.3174	0.2485	0.1655	19.3355	0.8668	58.96	3	0.00000
6724035425203144192	271.783050	-43.812689	-0.1636	-0.0980	0.1091	-3.7051	-7.2958	0.1583	0.1753	0.1408	0.1543	18.4438	0.8950	58.89	3	0.00000
6724035528293790080	271.784412	-43.813057	-0.1627	-0.0984	0.1913	-4.1911	-7.6720	0.8145	1.2680	0.8841	0.3461	20.4375	0.3647	58.91	2	0.00021
6724035532579444096	271.785247	-43.812767	-0.1621	-0.0981	0.1058	-3.4517	-4.6901	0.7025	0.8097	0.6621	0.1714	20.4032	1.0704	58.93	3	0.00000
