# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6751244047316392832	294.926953	-31.205422	-0.0614	-0.2407	0.2591	-0.0303	-6.8382	0.0809	0.1046	0.0765	-0.3137	16.8174	0.9816	9.824	3	0.00000
6751244047314555136	294.930120	-31.205719	-0.0587	-0.2410	-0.8597	-5.6051	-6.0887	1.3133	1.6019	1.0778	-0.5049	20.3127	1.7276	9.879	2	0.13788
6751244077378369024	294.941560	-31.207510	-0.0489	-0.2428	-0.2011	-0.6635	-4.9386	0.3851	0.4910	0.3622	-0.2303	19.1951	1.0413	9.933	3	0.00000
6751244077378380928	294.939476	-31.204449	-0.0507	-0.2397	0.4845	-4.0084	-5.5874	0.0687	0.0962	0.0668	-0.4166	16.4724	1.1275	10.18	3	0.00000
6751244008658890880	294.947719	-31.208284	-0.0437	-0.2435	-0.1480	-5.6375	-4.2239	0.3551	0.5169	0.3730	-0.3027	19.1529	1.0105	9.964	3	0.00000
6751244077379463808	294.943501	-31.207474	-0.0473	-0.2427	0.0364	1.4073	-1.2702	0.8547	1.0261	0.8161	-0.1739	20.1732	1.4663	9.981	2	0.00000
6751244012956884992	294.953976	-31.206846	-0.0383	-0.2421	0.5218	-7.0679	-3.0343	1.0542	1.5450	1.2391	-0.0361	20.3837	1.0504	10.17	3	0.00001
6751244077378379392	294.944646	-31.204337	-0.0463	-0.2396	0.3501	-3.5619	1.0982	0.1651	0.2363	0.1638	-0.4201	18.0295	1.0023	10.21	3	0.00000
6751245486127660928	294.950536	-31.202115	-0.0413	-0.2374	0.1803	-2.7917	-4.5510	0.2883	0.3720	0.2683	-0.2812	18.8959	1.1052	10.12	3	0.00000
6751245486127629184	294.959920	-31.211654	-0.0332	-0.2469	0.4400	-1.7316	-8.0801	0.1629	0.2123	0.1527	-0.3019	18.0547	1.4882	9.71	3	0.00000
6751245490425402368	294.962968	-31.210581	-0.0306	-0.2458	0.9761	13.0927	6.3606	0.1665	0.2119	0.1488	-0.3087	17.6873	1.9158	9.922	1	0.00000
6751245486127636480	294.963895	-31.209340	-0.0298	-0.2446	0.4626	-5.3155	-6.1777	0.3497	0.4527	0.3258	-0.2745	19.0626	0.8570	10.08	3	0.00000
6751242531194593920	294.967305	-31.208906	-0.0269	-0.2442	0.8275	-0.7843	-0.4281	1.0428	1.5310	1.0848	-0.3399	20.3980	0.8410	10.14	1	0.00000
6751242535486065920	294.968798	-31.209649	-0.0256	-0.2449	1.4178	3.0454	-7.9978	0.9437	1.2442	0.9097	-0.1973	20.3497	2.3980	10.1	2	0.00000
6751242531190135936	294.971697	-31.209306	-0.0232	-0.2446	1.6421	-0.2958	2.9402	0.8884	1.3259	0.9547	-0.4836	20.2309	1.5868	10.14	2	0.00000
6751245486127643392	294.956436	-31.208228	-0.0362	-0.2435	0.7361	-2.4696	-7.5911	0.2554	0.3349	0.2582	-0.2331	18.7633	1.0703	10.1	3	0.00000
6751245490423919232	294.958476	-31.205079	-0.0345	-0.2403	-0.2397	6.5227	-5.6070	1.3338	1.9657	1.5857	-0.2373	20.5318	2.8923	10.19	2	0.00000
6751245486127663360	294.956096	-31.201738	-0.0365	-0.2370	0.8726	-2.9690	-9.4196	0.7169	0.9939	0.7324	-0.1950	20.0366	1.0388	10.09	0	0.95007
